ID,price_doc
100001,100000
100002,100000
100003,100000
100004,100000
100005,100000
100006,100000
100007,100000
100008,100000
100009,100000
100010,100000
100011,100000
100012,100000
100013,100000
100014,100000
100015,100000
100016,100000
100017,100000
100018,100000
100019,100000
100020,100000
100021,100000
100022,100000
100023,100000
100024,100000
100025,100000
100026,100000
100027,100000
100028,100000
100029,100000
100030,100000
100031,100000
100032,100000
100033,100000
100034,100000
100035,100000
100036,100000
100037,100000
100038,100000
100039,100000
100040,100000
100041,100000
100042,100000
100043,100000
100044,100000
100045,100000
100046,100000
100047,100000
100048,100000
100049,100000
100050,100000
100051,100000
100052,100000
100053,100000
100054,100000
100055,100000
100056,100000
100057,100000
100058,100000
100059,100000
100060,100000
100061,100000
100062,100000
100063,100000
100064,100000
100065,100000
100066,100000
100067,100000
100068,100000
100069,100000
100070,100000
100071,100000
100072,100000
100073,100000
100074,100000
100075,100000
100076,100000
100077,100000
100078,100000
100079,100000
100080,100000
100081,100000
100082,100000
100083,100000
100084,100000
100085,100000
100086,100000
100087,100000
100088,100000
100089,100000
100090,100000
100091,100000
100092,100000
100093,100000
100094,100000
100095,100000
100096,100000
100097,100000
100098,100000
100099,100000
100100,100000
100101,100000
100102,100000
100103,100000
100104,100000
100105,100000
100106,100000
100107,100000
100108,100000
100109,100000
100110,100000
100111,100000
100112,100000
100113,100000
100114,100000
100115,100000
100116,100000
100117,100000
100118,100000
100119,100000
100120,100000
100121,100000
100122,100000
100123,100000
100124,100000
100125,100000
100126,100000
100127,100000
100128,100000
100129,100000
100130,100000
100131,100000
100132,100000
100133,100000
100134,100000
100135,100000
100136,100000
100137,100000
100138,100000
100139,100000
100140,100000
100141,100000
100142,100000
100143,100000
100144,100000
100145,100000
100146,100000
100147,100000
100148,100000
100149,100000
100150,100000
100151,100000
100152,100000
100153,100000
100154,100000
100155,100000
100156,100000
100157,100000
100158,100000
100159,100000
100160,100000
100161,100000
100162,100000
100163,100000
100164,100000
100165,100000
100166,100000
100167,100000
100168,100000
100169,100000
100170,100000
100171,100000
100172,100000
100173,100000
100174,100000
100175,100000
100176,100000
100177,100000
100178,100000
100179,100000
100180,100000
100181,100000
100182,100000
100183,100000
100184,100000
100185,100000
100186,100000
100187,100000
100188,100000
100189,100000
100190,100000
100191,100000
100192,100000
100193,100000
100194,100000
100195,100000
100196,100000
100197,100000
100198,100000
100199,100000
100200,100000
100201,100000
100202,100000
100203,100000
100204,100000
100205,100000
100206,100000
100207,100000
100208,100000
100209,100000
100210,100000
100211,100000
100212,100000
100213,100000
100214,100000
100215,100000
100216,100000
100217,100000
100218,100000
100219,100000
100220,100000
100221,100000
100222,100000
100223,100000
100224,100000
100225,100000
100226,100000
100227,100000
100228,100000
100229,100000
100230,100000
100231,100000
100232,100000
100233,100000
100234,100000
100235,100000
100236,100000
100237,100000
100238,100000
100239,100000
100240,100000
100241,100000
100242,100000
100243,100000
100244,100000
100245,100000
100246,100000
100247,100000
100248,100000
100249,100000
100250,100000
100251,100000
100252,100000
100253,100000
100254,100000
100255,100000
100256,100000
100257,100000
100258,100000
100259,100000
100260,100000
100261,100000
100262,100000
100263,100000
100264,100000
100265,100000
100266,100000
100267,100000
100268,100000
100269,100000
100270,100000
100271,100000
100272,100000
100273,100000
100274,100000
100275,100000
100276,100000
100277,100000
100278,100000
100279,100000
100280,100000
100281,100000
100282,100000
100283,100000
100284,100000
100285,100000
100286,100000
100287,100000
100288,100000
100289,100000
100290,100000
100291,100000
